text,sentiment
"Después de un emocionante mitin en Córdoba, voy camino de Sevilla. Me dicen que ya está lleno. Se nota la fuerza del @psoedeandalucia",2
Q fuerte RT @JesusEspino: Un periodista italiano suplanta a cinco ministros españoles en Twitter: http://t.co/4SDRWviS - en @diario_sur,2
Impresionada aun...ver a @RecioManolo aplaudir y tuitear a la vez es de impresion...ahora lo entiendo todo #EREs #fondodereptiles #debateAND,2
"Saliendo de @13television, tras participar en el estupendo informativo de @alfonsomerlos y @MariavicoTV",2
Creo que estoy viendo todos los días a @JGonzaloLeon ;-)) esta en todos lados,2
Gracias a todos los que habéis seguido mi primera entrevista en directo en twitter. Gracias a @pacorengel  por la idea #YNTERVIUMARIVI,2
"No votes a los 3 Estados:Mercados, partitocracia, nacionalismo. Vota por el ciudadano. Vota Unión, Progreso y Democracia ·cadavotovale #UPyD",2
Aaaaaaaaaaaaaaaaah...! Por dios ya lo he sacado! Que nervios... JAJAJAJAJA,2
"Si tenéis un rato, vale la pena ver el video de esta mañana con Felipe, @patxilopez, @micaela_navarro, @mariagv y RbCb. http://t.co/AGcr2h4f",2
"Empezamos en un rato.!!!! No somos telesucesos. Si quereis información con criterio, @TelediarioInter 20:30 es vuestro telediario",2
“@paula_paulia: eres un mierdas carlos baute canta como los angeles te metia aora mismo una pedazo de ostia” Qué bonito ¿es tuyo o de Baute?,2
@estherpalomera ja ja si????,2
“@LaBustela: Y FF @oscarelia @eslamanana @pedroj_ramirez  @MarioNoyaM @FConcordia  @maitealfageme @PabloPlanas @garcia_abadillo” Gracias,2
"Estas son mis respuestas en el encuentro con @elconfidencial. Podéis enviarme más preguntas aquí, como siempre :) http://t.co/NE9svg8w",2
"@FedericoQuevedo @tdtarde Imserso, querido, con m de mayores :)",2
"Muchas gracias a todos por los #FF recibidos, que paséis un buen fin de semana :-)",2
la @SenoritaPuri disfrutando de un chupa chups ;-) http://t.co/TKQyKyVg,2
Tapeando x malasaña! Como me gusta.,2
Buenos días y mucho sueño....,2
La #prepotencia de algunos dirigentes socialistas andaluces es tan alta que ponen aquí que han ganado ellos las elecciones c/c @iuandalucia,2
"Zapatero contiene la emoción, defiende su mandato y la autonomía del PSOE, hace autocrítica y pide apoyo para quien gane. #38CongresoPSOE",2
Acabo de oír al Príncipe Felipe hablando en catalán y lo ha hecho francamente bien.,2
Muchas gracias por todas las #Mention ;) RT @_MarianaCabrera: RT @MentionTo: #MentionTo your favorite singer.//@AlejandroSanz ♡,2
Denle follow please. Donaran 1$ por cada seguidor.. RT @MareneAr: @AlejandroSanz follow a @ColectaTeleton donara $1 por cada segudor plz RT,2
Me conoces bien “@lasantacova: ¿Le gustaría a @pedroj_ ser presidente de RTVE? Se que no aceptaría el cargo; su vida es @elmundoes”,2
"Gracias! RT @danicamposd: Y de regalo, video de #Urdangarín a su llegada a los juzgados  http://t.co/jv0cbfjF",2
"En unos momentos empezamos en @tdtarde @13television con #NievesHerrero y hablaremos del Gobierno. Del nuevo, claro.",2
Escuchando esta delicia en la sala de espera de SFO: http://t.co/WwlK2Vno,2
“@rubensancheztw: Encuentran una deliciosa rata viva en una hamburguesa de un McDonald's de Philadelpia http://t.co/bbtxA4D0”Mmmmm ricorico,2
Obsesionada con la hermosura de NYC en el nuevo Spiderman. Ayer pude ver ocho minutos increíbles. Allá va el aperitivo. http://t.co/sin1O0pX,2
"http://t.co/iBkRzDGNvideocapítulo del concierto de Veracruz, homenajeando a otro gran poeta mexicano, Agustín Lara.",2
“@JaimeGutierrezH: La alfomra de @AlexdelaIglesia en los #premiosGoya fue mucho más glamurosa #teniaquedecirlo” gracias esta esta muy bien,2
@marianorajoy ratfica su compromiso de crear de nuevo el ministerio de Agricultura. buena noticia para nuestro sector.,2
Qué tensión en el partido osasuna-barcelona!! Guardiola detrás del juez de línea...tras anular gol al Barça por fuera de juego.(3-2 ahora),2
Hoy tenemos aquí a @marianorajoy y @javierarenas_pp ;-)))) (@ Distrito Ciudad Jardín) http://t.co/ZZas1gWN,2
Un saludo afectuoso a todos los que hoy han visto sus expectativas defraudadas (y a los del Barça tambien ;),2
Emociona y se agradece tanto mensaje de apoyo. Y es un orgullo ver a este estupendo equipo ultimando el diario de mañana. #Publico,2
@sanchezcastejon un fuerte abrazo Pedro,2
"Buenas noches! Tres puntos y un paso más al frente para lograr nuestro objetivo. Felicitar al equipo, en especial al Pipita por sus goles...",2
"Gracias! RT @SitoCamps: Fantástico @sevillajordi hoy en Mercados con ""Otra devaluación es posible""",2
Un espectacular #eclipse volverá la luna roja y gigante este sabado http://t.co/G82ckl6L #interesante,2
"??RT @teresacalvoooo: hoy he visto un videoclip de lady gaga,y me acorde de lo que echo de menos @Buenafuente @Berto_Romero  y @ana_morgade",2
Me cuentan fuentes muy cercanas al @psoeandalucia que esta tarde le han tenido q quitar el movil varias veces a #Griñan de las manos...,2
"Primero uno de ortografía “@PepaVera62: En S VALENTIN me voy a ir a una gasolinera haber si me cae un sobre,y luego compro tu libro.”",2
"otros ven mejor q yo :) rectifico: “@jemaillo: @PilarGGranja pero estaba a 30 metros , ojo a mi margen de error. Habrá fotos, imagino”",2
"Muy contentos por la victoria de ayer, terminamos el año siendo líderes. Estamos en la comida de Navidad y después visita a los hospitales.",2
"España necesita 1 oposición socialdemócrata moderna,más democrática,con contenido político y económico,no 1 producto d marketing infumable",2
Gracias x tus palabras RT @isaacj: Parece increíble que haya políticos como @Albert_Rivera que hablen clarito y sin tapujos en @Gato_directo,2
Gracias RT @Ricardo_RomeroG: @sevillajordi le dejo la entrada a mi blog por si le apetece echar un vistazo http://t.co/ZG0Be53M saludos!,2
Llevo todo el día haciéndolo! RT @inmisuee @Tonicanto1 : y reirte de ello :-),2
El #gobiernodelcambio creará un calendario de pagos que dote de liquidez a las PYMES ante la morosidad de la administración #elcambioandaluz,2
Por cierto solo quedan 7 dias para mi cumple...otro añito massss!!!!!!,2
"La reforma laboral, el eurogrupo decide sobre Grecia, nuevo presidente en Alemania y los Goya entre las noticias más destacadas del #TD1.",2
"Con ganas de ver y oir lo nuevo de Ara Malikian, en un ratito ... #expectacion",2
Gracias al equipo de las Mañanas de Buruaga @buruagacope por invitarme a compartir su tertulia.,2
"El ""resultado"" esta noche a partir de las 22 en la fastuosa gala de entrega de los Goya.A mi me ha tocado entregar al actor ""revelación""...",2
"El congreso del PP es el de los videos personales. Si ayer fue en homenaje a Fraga, el de hoy es sobre Rajoy. Música épica sobre imágenes.",2
@rabiekhd jajajajajaja me meo que yo tengo mi novio y él tiene su novia y estamos los dos contentos ,2
Comença el mitin de @CarmeChacon2011 y @conrubalcaba a tope!!! http://t.co/HoiC95vD,2
"Quieren trasladar al Generalisimo de su gloriosa sepultura. Español votante del #PP y fascista en general, #sumatealcambio contra ZP!!",2
Magnifico.¿Hay vida inteligente en los Gobiernos? Anton Costas.http://www.elpais.com/articulo/primer/plano/Hay/vida/inteligente/Gobiernos/,2
Firmo por acabar 2012 como estoy pero haré todo lo imposible por q sea mucho mejor personal y profesionalmente. #noconformista #Noosdigomás,2
"Gracias@cdhugo he visto  la conferencia del Ministro  Schäuble, y grabada la de @javiersolana en ECFR. He aprendido más con la segunda",2
De la primera parte lo que más me ha gustado han sido los Niños Cantores y la polka Albion. ¿A vosotros?,2
y a ver si nos vemos estas navidades RT @ElPaliquedeLoma: @anainglan @mariviromero Los lograrás en breve ;),2
"Para el programa de Mario Picazo esta noche en la 1, mejor este link http://t.co/qAydVJGW",2
"En el cumple de Octavio, 52 tacos! Los lleva bn, pero no dejan de ser unos añitos, felicidades! http://t.co/vQXmccrP",2
Donación para Abraham Presa Alba La Caixa: 2100–3749–73–2100858738 toda ayuda es poca ( RTs por favor ) http://t.co/OSH1bQdH,2
Qué divertido! http://t.co/YiqODEfW,2
"A pesar de la derrota frente a Djokovic, Nadal sigue siendo el tenista más grande de nuestra historia. Y el único que puede ganar al serbio",2
"@mgilguerrero @galsuinda @trasgodegaceta Buen ejemplo, ademas divorciado y casado por lo civil.",2
"¡Buenas tardes! Menuda cantidad de retuits y menciones, madre mía. ¡Gracias a todos por vuestra participación!",2
Acabo de encontrarme al gran Alfonso Ussia y me ha dicho que hoy ha entrado en Twitter. En cuanto me mande su nick os hago RT.,2
"@crisasanz claro, yo no digo que sea fácil... Para nada, yo llevo años intentándolo y será mi trabajo vital, pero quiero intentarlo ",2
Muy orgulloso de que el FCBarcelona reciba el premio Laureus al Mejor Equipo del Año! Very proud to play in the... http://t.co/xbEistso,2
Muy buenas noches followercetes... http://t.co/LhDgTfs7,2
.@conRubalcaba en tve pidiendo que no se vote a @iunida y q no hay q hacer proporcional la ley electoral. Se huele el miedo... #rebélate,2
Con @ACEcultura y #LaPepa. Mi artículo favorito: http://t.co/KPEFntct Mañana tuitea @delia2d,2
"“@AngelCasco: Felices Fiestas Presi, q las disfrutes con los tuyos y con Jamón Ext, Cava d Almendralejo, Turrón d ...” http://t.co/v4gkyoOg",2
@sonsolesonega Pero seguro q la cambia el lunes cuando toma posesion el nuevo secretario general,2
"Bueno dias, queridos amigos!",2
"Susana Radio ""Os animo a seguir luchando x mantener los derechos q tanto trabajo nos ha costado lograr"" @conRubalcaba #lafuerzadelpsoe",2
Gracias Jose Manuel ;-)) RT @jmatencia: . @jmatencia Me ayudas Jose Manuel ? http://t.co/iNoUlER2 #DonaMedula,2
Tal como ha ido la F1 este año pinta muy interesante.,2
Me vuelvo al estudio a seguir trabajando,2
"Mientras aquí estaban algunos de foto en foto, Zaragoza y Valladolid estaban trabajando. Y la desaparición de la Consejería del Deporte.",2
Esperanzador y fructífero el encuentro q ha mantenido el Ministro Montoro con los empresarios de la @ceccadiz. http://t.co/Vymga3YE,2
"Fontanería de @MarianoRajoy: Jorge Moragas, jefe de gabinete; Ayllón, secretario estado Relaciones con las Cortes y Nadal oficina económica",2
Muchísimas gracias por todas vuestras felicitaciones por mi cumpleaños!!! Soy muy feliz!!!!!,2
#momentodormir con @LUdeFilipinas Romney ha ganado en Nevada... By the way...,2
FELIZ NOCHE DE REYES!!!!!,2
"Gracias :-) RT @IdiazAyuso: Madrid tiene una presidenta regional, una alcaldesa y una nueva delegada del Gobierno, mujeres. Sin cuotas.",2
"Buenos dias. Vientos de cambio en Francia. Nueva encuesta: Hollande 32%, Sarkozy 25%, Le Pen 16%",2
"Qué pedazo de MVP, Sergio Llull, aquel chico menorquín que debutó metiéndole cuatro triples a un equipo de la NBA. Y Carroll!!",2
"La alicantina Miriam Blasco, medalla de Oro en las Olimpiadas de 1992, va a defender a la Selección Española. @GPPopular @ppcv",2
En #17CongresoPP @marianorajoy: Nunca vamos a olvidar a las víctimas de ETA,2
Las nuevas Cortes se constituyen este martes con la elección de las Mesas de Congreso y Senado - http://t.co/TOghXYJZ,2
"""Una alternativa por hacer"". Muy interesante reflexión de José Luis de Zárraga sobre el #38CongresoPSOE.",2
Vuelta a casa!;-) Feliz domingo!,2
@mjguemes @FedericoQuevedo @iescolar @jesusmarana @aliciaguti Cómo me gustaría que hiciéramos juntos lo que mejor sabemos: periodismo.Ánimo!,2
¿Es éste el primer contacto entre Amaiur y el @PSOE en el #Congreso? RT “@larreina: @EduMadina quiero contactar contigo” V @santiagocervera,2
Nadal no puede ser de este planeta!!!! Espectacular. Vamosss Rafa!!!!,2
"Las grandes reformas sociales,siempre mejor por consenso.",2
Un saludo para todos los que están en #Hub #Madrid con la presentación de la App de @Navarra #oGob. Me hubiera gustado acompañaros.,2
"""Conocimiento es saber que un tomate es una fruta; Sabiduría es no meterlo en una ensalada de frutas"" XD",2
@SSantiagosegura me encanta tu avatar. Que bien te ha sentado la nochevieja #tashechounchaval,2
Buena noticia: el BCE cumple expectativas y baja los tipos de interés al 1%.,2
El estado de la Unión: gran pieza de Torreblanca sobre la encrucijada europea en el suplemento especial de EL PAÍS  http://t.co/vtXKYD77,2
"Un dato vale + q mil palabras. ""5.084.000 de españoles veían ayer Gran Hermano... Se me ocurre mucho que decir, nada amable"" via @HernanZin",2
"Finaliza la presentación del documento ""38 propuestas y +"" para lograr un PSOE fuerte, más abierto y participativo"" http://t.co/Hz82J4F0",2
Gracias Nacho! RT @naxob A todos mis amigos periodistas. Feliz #diadelosperiodistas @EvaORegan,2
"Buenos días. Donde no hay constituciones democráticas no hay, tampoco, tuitter libre. Viva la Constitución!!",2
"Que bonito RT @tangoblack: Regalame tu mirada... descubreme tus ojos, así puedo buscarlos en mis sueños. :-)",2
Buenas noches a todos. Mañana es sábado así que a trabajar mucho.,2
"En fin, una vez publicitados los insidiosos, vamos aponermos a trabajar. Gracias a todos y besos :))) #momentoreunioneditorial",2
"GRACIAS 4) La app para móviles ""iSemana Santa"" superó las 80.000 descargas gratuitas en 40 países. y ¡más de 210.000 conexiones en móviles!",2
