text,sentiment
"Well @lovelyluz, hope you had fun.  ly!!!",2
@angel9293 hahaha whateva it was a special moment for me  lol,2
@Cazling Try to have a good time at the workplace hugzzzzzzzzz  XX,2
"@juliebonner  Thanks so much, Julie!!!  ",2
@backstreetboys Ohhhh Howie is so sweet like always ,2
at Quest again...hopefully no cyncism will mess with it ,2
"@Honey3223 It's day here and sleepy time over there, so I guess &quot;rest well&quot; would be fitting, huh? If that's what you're gonna do... ",2
"@Oxfam_reject oh, thanks :3 i'll watch it in a bit when this one finishes ",2
@JohnNoonan I will be soon - got a list of DLC and Arcade games I want (I'm all over Space Invaders Extreme) ,2
@dougenright Of course. ,2
"@jpSanPedro i know the feeling!! good luck tom, hope the show goes great ",2
"Great, if sender deletes DM in his/her Inbox, it get deleted at receiver point too! It was @Sharanya who deleted my DMs  #twitter",2
@fbz or most of your social interaction goes over twitter and other social networks ,2
"@twlady09  Doesn't he?!? Dogs have it figured out - unconditional love, yesterday is forgotten, just cuddle &amp; let wind blow thru my hair!",2
"@ramielemalubay HiiY, rAmimeLLee maLLubyEee..  i LOvee y0ur hAiR, girLL!! loL!",2
"@SmilinNursAnnie Far from it. Bali, a wonderful place but wouldn't have such music. Not that I have asked. Should I? ",2
Just Joined. ,2
yay! @bslife91 is on Twitter... I'll have to teach you how to tweet properly  maybe then I'll lose my shine...,2
@cschultz happy birthday dude! hope it's a great one ,2
Watching mitchel Davis youtube vids with kt and shelby ,2
is watching '11th Hour'...not too bad ,2
@sehrish_D Yay! Can't wait lol! I watched him on TV last night for the tenth time and he still made me laugh! ,2
Soooo....the bruhs shut down the dance floor at the Moon on Saturday because they were strolling...Classic KD!! ,2
Makin it a Blockbuster night ,2
had a great weekend photographically speaking! Thanks to Governor's Island and Strike Anywhere. ,2
@abrilli bienn  sii me llego !! i miss you too !!,2
@Muzachan Thank you for following me!  [ã¦ã§ãã? ã],2
Whew! My day is ovahh! Hopefully the house is quiet so I can get some zZzZz's ,2
lavics with the fam then going home. ,2
"I told myself lmao, i mean who else do you know that will run around a cinema or fall off a chair haha ",2
@AerialEllis @kiajarmon @MsCharisma_Mel I'm going to send you my rate sheet in the AM. It's almost done ,2
i love loove loooove encouraging people ,2
@CameronM82 hahaha i love when you call us dweebs  what all do you need help on?,2
@JDiamondz Glad to see u been successful @ wat u luv doin.  Much success to u. Stay focused- I told u time is patience ,2
just joined! voting on univision.com for premios juventud!! &amp;&amp; on myspace ,2
it's a great day to be productive in the most fun ways.  like giving princess a bath.,2
Bed time! I hope tomorrow will be a good day  school things and stuff...,2
@deadconfederate http://twitpic.com/6vpm1 - I took this pic ,2
@ermadea Shurrup you daft mare! Am hardly anywhere near being on par with Fry! Glad it's made you cheerier though  x,2
We have almost completed the last battery of tests before Launch II ,2
I am so excited Rob Thomas is back!,2
@rb9003 Thanks! ,2
#delongeday #delongeday #delongeday #delongeday #delongeday #delongeday #delongeday #delongeday #delongeday #delongeday ,2
